ISO 639-3,Name,Train Stories,Validation Stories,Test Stories
aeu,Akeu,47,6,5
afr,Afrikaans,19,2,2
ahk,Akha,81,10,10
aph,Athpariya,28,4,3
awa,Awadhi,131,16,16
ben,Bengali,201,25,25
bfn,Bunak,11,1,1
bho,Bhojpuri,139,17,17
bis,Bislama,20,2,2
bkm,Kom (Cameroon),15,2,1
bkx,Baikeno,8,1,1
brb,Brao,18,2,2
bwx,Bu-Nao Bunu,14,2,1
bzi,Bisu,53,7,6
cak,Kaqchikel,54,7,6
cbr,Cashibo-Cacataibo,11,1,1
ceb,Cebuano,335,42,41
cgc,Kagayanen,158,20,19
cmo,Central Mnong,16,2,2
ddg,Fataluku,14,2,1
deu,German,36,4,4
dtp,Kadazan Dusun,13,2,1
dty,Dotyali,138,17,17
eng,English,2107,263,263
fas,Persian,104,13,12
fil,Filipino,55,7,6
fra,French,323,40,40
gal,Galolen,11,1,1
gwc,Gawri,15,2,1
hat,Haitian,208,26,26
hau,Hausa,205,26,25
hbb,Huba,22,3,2
hin,Hindi,16,2,2
idt,Idaté,8,1,1
ind,Indonesian,208,26,25
jmx,Western Juxtlahuaca Mixtec,19,2,2
jra,Jarai,112,14,13
kak,Kalanguya,156,20,19
kan,Kannada,17,2,2
kau,Kanuri,36,5,4
kek,Kekchí,29,4,3
khb,Lü,25,3,3
khm,Khmer,28,4,3
kik,Kikuyu,8,1,1
kir,Kirghiz,306,38,38
kjb,Q'anjob'al,82,10,10
kmg,Kâte,16,2,1
kor,Korean,106,13,13
krr,Krung,24,3,3
kwd,Kwaio,19,2,2
kwu,Kwakum,16,2,2
lbr,Lohorung,8,1,1
lhu,Lahu,32,4,4
lsi,Lashi,21,3,2
mai,Maithili,144,18,18
mal,Malayalam,12,1,1
mam,Mam,108,13,13
mar,Marathi,8,1,1
mgm,Mambae,12,2,1
mhx,Maru,79,10,9
mkz,Makasae,16,2,2
mya,Burmese,31,4,3
myk,Mamara Senoufo,28,3,3
nep,Nepali (macrolanguage),160,20,20
new,Newari,142,18,17
nlv,Orizaba Nahuatl,8,1,1
nsn,Nehan,9,1,1
nwi,Southwest Tanna,9,1,1
nxa,Nauete,12,1,1
omw,South Tairora,10,1,1
pbt,Southern Pashto,164,21,20
pce,Ruching Palaung,30,4,3
pis,Pijin,14,2,1
por,Portuguese,131,16,16
quc,K'iche',80,10,9
rus,Russian,283,35,35
sdk,Sos Kundi,9,1,1
snk,Soninke,28,4,3
spa,Spanish,423,53,52
swh,Swahili (individual language),58,7,7
tam,Tamil,13,2,1
tdg,Western Tamang,26,3,3
tdt,Tetun Dili,22,3,2
tet,Tetum,8,1,1
tgk,Tajik,24,3,2
tha,Thai,228,29,28
the,Chitwania Tharu,11,1,1
thl,Dangaura Tharu,148,19,18
tnl,Lenakel,10,1,1
tnn,North Tanna,9,1,1
tpi,Tok Pisin,161,20,20
tpu,Tampuan,24,3,2
uzb,Uzbek,24,3,2
war,Waray (Philippines),16,2,2
wbr,Wagdi,10,1,1
wni,Ndzwani Comorian,12,2,1
xkg,Kagoro,16,2,1
ybh,Yakha,16,2,1
zho,Chinese,34,4,4
zlm,Malay (individual language),8,1,1
zul,Zulu,19,2,2
