LP,Target Language Name,ISO 15924 Script,Continent,Endonym,Alternate names,Smoldoc,SmolSent,Gatitos
am_ar,Arabic,Arab,Asia,اللُّغَة العَرَبِيّة,Arabic (MSA); Arabic (Standard); Arabic (Fusha),329,0,0
am_zh,Mandarin Chinese,Hans,Asia,汉语,,329,0,0
en_aa,Afar,Latn,Africa,Qafar,,66,863,3990
en_ab,Abkhaz,Cyrl,Asia,Аҧсуа,Abkhazian,0,0,3976
en_ace,Acehnese,Latn,Asia,Aceh,Achinese; Dayan; Aceh,0,0,4001
en_ach,Acholi,Latn,Africa,Acholi,Luo; Acoli,66,863,4001
en_ady,West Circassian,Cyrl,Europe,Черкес,Adyghe,0,0,4001
en_aeb,Tunisian Arabic,Arab,Africa,اللغة العربيّة التونسيّة,Arabic (Tunisia); Tounsi,66,862,3998
en_af,Afrikaans,Latn,Africa,Afrikaans,,130,863,0
en_ahr,Ahirani,Deva,Asia,"खान्देशी, अहिराणी",,457,0,0
en_aii,Assyrian Neo-Aramaic,Syrc,Asia,ܣܘܪܝܬ,Assyrian; Assyrian Neo–Aramaic; Sureth; Suret,0,0,3717
en_ak,Twi,Latn,Africa,Twi,Akan (includes Akuapem + Fante); Asante,260,863,4000
en_alz,Alur,Latn,Africa,Lur,,66,863,3992
en_am,Amharic,Ethi,Africa,አማርኛ,,584,863,0
en_apc,North Levantine Arabic,Arab,Asia,شامي‎,,0,0,3998
en_apd,Sudanese Arabic,Arab,Africa,عربي سوداني,Arabic (Sudan),0,0,0
en_ar-MA,Morrocan Arabic,Arab,Africa,الدارجة,Arabic (Morocco); Darija,260,863,3989
en_arn,Mapudungun,Latn,Americas,Mapudungun,Mapuche,0,0,4001
en_arz,Egyptian Arabic,Arab,Africa,اللهجة المصرية,Arabic (Egypt); Masri; Masry,260,863,4001
en_as,Assamese,Beng,Asia,অসমীয়া,,0,0,3975
en_av,Avar,Cyrl,Europe,магӏарул мацӏ,Avaric,0,0,4001
en_awa,Awadhi,Deva,Asia,अवधी,Audhi,0,0,3999
en_ay,Aymara,Latn,Americas,Aymar aru,,0,863,3990
en_ayl,Libyan Arabic,Arab,Africa,العربية الليبية,Arabic (Libya); Sulaimitian Arabic,66,863,3999
en_ba,Bashkir,Cyrl,Europe,Башҡорт,,0,0,3986
en_bal,Baluchi,Arab,Asia,بلوچی,Balochi,0,0,3994
en_ban,Balinese,Latn,Asia,Basa Bali,,0,0,3992
en_bbc,Batak Toba,Latn,Asia,Batak Toba,,0,0,3993
en_bci,Baoulé,Latn,Africa,wawle,Baoule; Baule,66,863,3998
en_bem,Bemba (Zambia),Latn,Africa,Ichibemba,Bemba; chiBemba,66,863,3977
en_ber,Tamazight (Tifinagh Script),Tfng,Africa,ⵜⴰⵎⴰⵣⵉⵖⵜ,Berber; Amazigh,130,862,4000
en_ber-Latn,Tamazight (Latin Script),Latn,Africa,Tamaziɣt,Tamazight; Berber; Amazigh,130,862,4001
en_bew,Betawi,Latn,Asia,Betawi,Betawi Malay; Jakartan Malay; Batavian Malay,0,0,4001
en_bfq,Badaga,Taml,Asia,படக,,457,0,0
en_bfy,Bagheli,Deva,Asia,बघेली,,457,0,0
en_bgq,Bagri,Deva,Asia,बागड़ी,,457,0,0
en_bho,Bhojpuri,Deva,Asia,भोजपुरी,,0,0,3991
