Language,Code,Iso 639-2,Transcribed Hours,Transcribed Speakers,Transcribed Tokens
English,En,rng,543,1313,4.8M
German,De,deu,282,531,2.3M
French,Fr,fra,211,534,2.1M
Spanish,Es,spa,166,305,1.6M
Polish,Pl,pol,111,282,802K
Italian,It,ita,91,306,757K
Romanian,Ro,ron,89,164,739K
Hungarian,Hu,hun,63,143,431K
Czech,Cs,ces,62,138,461K
Dutch,Nl,nld,53,221,488K
Finnish,Fi,fin,27,84,160K
Croatian,Hr,hrv,43,83,337K
Slovak,Sk,slk,35,96,270K
Slovene,Sl,slv,10,45,76K
Estonian,Et,est,3,29,18K
Lithuanian,Lt,lit,2,21,10K
